EPIC,fund_period,fund_power,sig_period,sig_power,sec_period,sec_power,num_sig,harm_type,threshold,SpotEvol,MultiProt,Q,Q2,Q3,Neighbor,Blended,ImgProblem,Notes,Notes – neighbors
210491860,15.1794,0.823,15.1794,0.823,7.4563,0.0462,0,half,0.007638,y,n,0,2,-,y,y,n,,
210551925,11.6936,0.7201,11.6936,0.7201,5.9737,0.0824,0,half,0.007968,y,n,0,2,-,m,m,n,,2MASS ghosts?
210552148,38.5569,0.4026,38.5569,0.4026,-9999,-9999,0,-,0.008936,n,n,0,2,-,y,m,n,,"comparable brightness, almost overlapping PSFs"
210554781,11.5143,0.6523,11.5143,0.6523,3.5983,0.1675,3,-,0.008142,y,y,0,0,2,m,m,n,,2MASS ghosts?
210558541,0.9041,0.5218,0.9041,0.5218,0.4522,0.0991,1,half,0.007559,y,n,0,2,-,y,y,n,,"DSS extended, nothing in 2MASS"
210566619,13.1814,0.4329,13.1814,0.4329,6.8292,0.1614,1,half,0.00779,y,m,1,2,-,y,m,n,"Clear double-dip in second half of campaign, but lots of evolution in first half so phasing isn't great","faint in 2MASS, 2MASS ghosts?"
210596446,14.5192,0.6478,14.5192,0.6478,7.1887,0.0224,0,half,0.007592,y,n,0,2,-,y,n,n,,
210640966,2.7166,0.4664,2.7166,0.4664,44.2338,0.0609,2,-,0.008273,y,n,0,2,2,n,n,n,Strong beat pattern (differential rotation); P3 looks like noise,
210651981,2.4486,0.8716,2.4486,0.8716,1.0718,0.0769,2,-,0.008985,m,m,0,1,2,y,y,n,"P2 has such low power I'm inclined to ignore it, but it phases really clearly",faint close neighbor
210652965,10.1869,0.6519,10.1869,0.6519,5.0841,0.1537,1,half,0.007862,y,n,0,2,-,y,n,y,Single spot pattern,background problem in TPF
210666330,10.6945,0.2669,10.6945,0.2669,4.8385,0.0583,0,half,0.009179,y,n,1,2,-,y,y,n,"Double-dip repeats over several cycles, but loses all clarity in second half of campaign",
210667985,17.374,0.0036,-9999,-9999,-9999,-9999,0,-,0.004842,-,-,3,-,-,n,n,y,noise,background problem in TPF
210674207,0.9837,0.003,-9999,-9999,-9999,-9999,0,-,0.006736,-,-,3,-,-,n,n,n,Visible 1-day periods in white noise (not time-dep); not detected though,
210709514,10.9678,0.7849,10.9678,0.7849,5.4532,0.1322,1,half,0.00753,y,n,0,2,-,m,m,n,,2MASS ghosts?
210718930,2.4132,0.7109,2.4132,0.7109,1.2076,0.0289,0,half,0.007612,n,n,0,2,-,n,n,n,,
210721261,1.5415,0.8964,1.5415,0.8964,0.7705,0.0156,0,half,0.008115,n,n,0,2,-,n,n,n,,
