IDX,RA,DEC,RA_HMS,DEC_DMS,PERIOD
75,66.899281,15.589249,04:27:35.8275,+15:35:21.2976,5.87
76,65.053733,19.233563,04:20:12.8958,+19:14:00.8255,5.45
77,66.524417,15.524333,04:26:05.8601,+15:31:27.5999,4.83
78,66.941704,11.736450,04:27:46.0091,+11:44:11.2183,5.14
80,69.383038,15.146498,04:37:31.9292,+15:08:47.3927,6.28
82,66.051658,14.758289,04:24:12.398,+14:45:29.8391,6.77
84,72.640679,15.083504,04:50:33.7629,+15:05:00.6133,8.61
86,66.117739,16.886226,04:24:28.2573,+16:53:10.4147,7.84
87,67.200967,17.285537,04:28:48.232,+17:17:07.9346,7.38
90,61.566899,15.698168,04:06:16.0557,+15:41:53.4044,7.47
93,68.646869,15.504688,04:34:35.2487,+15:30:16.876,8.93
95,66.602270,16.853365,04:26:24.5448,+16:51:12.1144,8.11
96,63.634326,23.575062,04:14:32.2383,+23:34:30.2237,8.38
98,66.465249,18.864147,04:25:51.6598,+18:51:50.9304,7.96
99,66.666891,16.746966,04:26:40.054,+16:44:49.079,8.68
100,71.626391,15.472110,04:46:30.3338,+15:28:19.5964,7.95
101,64.411969,16.947911,04:17:38.8726,+16:56:52.4788,5.52
103,64.783078,17.524822,04:19:07.9388,+17:31:29.3579,8.96
104,68.493652,15.163703,04:33:58.4764,+15:09:49.3317,8.65
107,67.154802,19.740782,04:28:37.1526,+19:44:26.8156,11.48
108,64.741269,19.906790,04:18:57.9046,+19:54:24.4439,9.39
109,68.247701,15.818970,04:32:59.4482,+15:49:08.292,9.80
110,67.645290,15.733970,04:30:34.8696,+15:44:02.292,8.73
114,65.842782,21.379190,04:23:22.2677,+21:22:45.0851,-99.00
115,53.208231,23.692283,03:32:49.9755,+23:41:32.2181,9.39
117,68.208795,16.005812,04:32:50.1108,+16:00:20.9239,9.36
118,67.381418,17.893263,04:29:31.5404,+17:53:35.7474,9.55
120,66.447877,18.017359,04:25:47.4905,+18:01:02.4929,8.46
121,58.776714,16.998537,03:55:06.4114,+16:59:54.7346,9.82
122,75.781742,13.730714,05:03:07.618,+13:43:50.5704,8.96
124,72.175307,21.101102,04:48:42.0737,+21:06:03.9666,9.92
125,67.490262,16.672909,04:29:57.6629,+16:40:22.4731,9.39
126,65.884447,14.670522,04:23:32.2674,+14:40:13.8794,10.01
127,64.139216,21.907561,04:16:33.4118,+21:54:27.2195,10.26
129,69.021920,15.684000,04:36:05.2608,+15:41:02.4,9.47
130,61.414984,17.937778,04:05:39.5962,+17:56:16.0008,9.10
131,54.395355,21.343241,03:37:34.8853,+21:20:35.6664,11.17
132,62.983892,23.636460,04:11:56.1341,+23:38:11.2547,2.31
133,65.844954,19.658756,04:23:22.7889,+19:39:31.5201,10.02
134,62.150870,23.768610,04:08:36.2088,+23:46:06.996,9.39
136,66.700800,10.871109,04:26:48.1921,+10:52:15.993,10.40
137,57.603705,17.246563,03:50:24.8892,+17:14:47.6258,11.59
138,70.105891,16.513734,04:40:25.4139,+16:30:49.4411,-99.00
