K2 ID,Dataset Name,Campaign,Object type,RA (J2000),Dec (J2000),Target Type,Ref,Actual Start Time,Actual End Time,Investigation ID,R Mag,R Mag Err,J Mag,J Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Module,Output,Channel,High-Level Science Products
integer,string,integer,substring,ra,dec,ustring,integer,datetime,datetime,string,float,float,float,float,float,string,integer,string,string,string,string,string,integer,integer,integer,integer
210491860,KTWO210491860-C13,13,STAR,04 29 12.350,+15 16 26.03,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13010_GO13018_GO13023_GO13039_GO13049_GO13064_GO13071_GO13077_GO13090,11.725,0.020,9.308,0.024,11.603,gri,,,,527-008570,04291234+1516259,,22,3,75,10
210551925,KTWO210551925-C13,13,STAR,04 29 30.991,+16 14 41.22,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13023_GO13039_GO13049_GO13064_GO13077_GO13123,,,8.224,0.024,9.987,JHK,,,,532-008564,04293098+1614413,,22,4,76,10
210552148,KTWO210552148-C13,13,STAR,04 27 40.745,+16 14 55.39,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13011_GO13018_GO13023_GO13064_GO13073_GO13077,,,11.398,0.023,13.814,JHK,,,,532-008483,04274073+1614553,,22,4,76,10
210554781,KTWO210554781-C13,13,STAR,04 28 50.819,+16 17 20.48,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13002_GO13008_GO13023_GO13036_GO13039_GO13049_GO13064_GO13077_GO13090,10.171,0.040,8.114,0.023,10.161,gri,,,,532-008528,04285080+1617204,,22,4,76,10
210558541,KTWO210558541-C13,13,STAR,04 29 00.154,+16 20 46.82,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13018_GO13023_GO13064_GO13073_GO13077_GO13090,13.713,0.040,10.266,0.026,13.181,gri,,,,532-008537,04290015+1620467,,22,4,76,10
210566619,KTWO210566619-C13,13,STAR,04 28 10.862,+16 28 15.36,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13023_GO13039_GO13049_GO13064_GO13071_GO13077_GO13090_GO13122_GO13903,10.498,0.010,8.560,0.032,10.532,gri,,1265-433-1,,533-008930,04281085+1628155,,22,4,76,10
210596446,KTWO210596446-C13,13,STAR,04 29 55.741,+16 54 50.58,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13010_GO13018_GO13023_GO13039_GO13049_GO13064_GO13071_GO13073_GO13077_GO13090,12.228,0.050,9.524,0.023,11.999,gri,,,,535-009063,04295572+1654506,,22,4,76,10
210640966,KTWO210640966-C13,13,STAR,04 25 47.021,+17 32 40.58,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13008_GO13011_GO13018_GO13023_GO13064_GO13073_GO13077_GO13090_GO13902_GO13904,15.358,0.010,11.189,0.022,14.553,gri,,,6485-301-2-0164-0096,538-009000,04254701+1732407,,23,3,79,29
210651981,KTWO210651981-C13,13,STAR,04 28 28.776,+17 41 45.39,LC,,2017-03-08 01:49:48,2017-05-27 15:30:10,GO13002_GO13008_GO13010_GO13018_GO13023_GO13039_GO13049_GO13064_GO13077_GO13090_GO13123_GO13902_GO13904,11.557,0.040,8.592,0.021,11.247,gri,,,,539-009152,04282878+1741453,,23,3,79,29
